Ingredients,Description,Allergies,Verified From
Protein,"Essential for muscle repair and growth, found in meat, eggs, beans, and nuts.","['Peanuts', 'Tree Nuts', 'Soy', 'Milk', 'Eggs']",https://www.who.int/teams/nutrition-and-food-safety
Carbohydrate,"Primary energy source, found in grains, fruits, and vegetables.","['Wheat', 'Diabetes']",https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Added Sugar,"Processed sweeteners in foods and drinks, linked to weight gain and tooth decay.","['Diabetes', 'Heart Problems']",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Natural Sugar,"Sugars naturally present in fruits and milk, less harmful than added sugars.",['Diabetes'],https://www.who.int/teams/nutrition-and-food-safety
Unsaturated Fats,"Healthy fats from nuts, seeds, and fish, beneficial for heart health.","['Peanuts', 'Tree Nuts', 'Fish']",https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Saturated Fats,"Found in animal products and tropical oils, excessive intake may harm heart health.",['Heart Problems'],https://www.who.int/teams/nutrition-and-food-safety
Trans Fats,"Artificial fats in processed foods, linked to heart disease and inflammation.",['Heart Problems'],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Cholesterol,"A waxy substance in animal products, excess may raise heart disease risk.",['Heart Problems'],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Sodium,"An essential mineral that regulates fluids, excessive intake can raise blood pressure.",['Heart Problems'],https://www.who.int/teams/nutrition-and-food-safety
Calcium,"Strengthens bones and teeth, found in dairy, leafy greens, and fortified foods.",['Milk'],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Copper,"Supports red blood cell production, found in nuts, seeds, and shellfish.","['Tree Nuts', 'Shellfish']",https://www.who.int/teams/nutrition-and-food-safety
Chloride,"Helps maintain fluid balance, found in table salt and processed foods.",['Heart Problems'],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Iodine,"Essential for thyroid function, found in seafood and iodized salt.",['Shellfish'],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Iron,"Vital for oxygen transport, found in red meat, beans, and fortified cereals.",[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Magnesium,"Supports muscle and nerve function, found in nuts, seeds, and leafy greens.",['Tree Nuts'],https://www.who.int/teams/nutrition-and-food-safety
Phosphorus,"Strengthens bones and teeth, found in dairy, fish, and meats.","['Milk', 'Fish']",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods/
Potassium,"Regulates fluid balance and muscle contractions, found in fruits and vegetables.",[],https://www.who.int/teams/nutrition-and-food-safety
