Ingredients,Description,Allergies,Verified From
Corn Syrup,A sweetener made from cornstarch.,"['Corn', 'Diabetes']",https://data.food.gov.uk/catalog/datasets?keyword=allergy
Piper Nigrum,"Common black pepper, used as a spice.",['Asthma'],https://www.who.int/publications/i/item/B09009
Piper Longum,"Long pepper, a spicier relative of black pepper.",['Diabetes'],https://data.food.gov.uk/catalog/datasets?keyword=allergy
Zingiber Officinale,"Ginger root, used in cooking and traditional medicine.",['Sulphites'],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Preservative,Substance added to prevent spoilage.,['Preservatives'],https://www.who.int/publications/i/item/B09009
Syzygium Aromaticum,"Clove, a spice used for flavoring and medicinal purposes.",['Tree Nut'],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Cinnamomum Camphora,"Camphor, used in medicinal and aromatic applications.",['Wheat'],https://www.who.int/publications/i/item/B09009
Mentha,"Mint, an aromatic herb used in cooking and medicine.",['Peanuts'],https://data.food.gov.uk/catalog/datasets?keyword=allergy
Zanthoxylum Anatum,"Used to cure stomach issues, toothache, chest infections, dental problems, digestive problems, and scabies; it is carminative and antiseptic.",['Pollen'],https://data.food.gov.uk/catalog/datasets?keyword=allergy
Fiber,"Dietary fiber, essential for digestion.",['Wheat'],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Fat,Nutrient used for energy storage and metabolism.,['Diabetes'],https://www.who.int/publications/i/item/B09009
Pepper,Generic term for spices like black or long pepper.,['Asthma'],https://data.food.gov.uk/catalog/datasets?keyword=allergy
Ginger,Common spice used for its flavor and medicinal properties.,['Dairy'],https://data.food.gov.uk/catalog/datasets?keyword=allergy
Clove Oil,"Oil extracted from cloves, used for medicine and flavoring.",['Sulphites'],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Camphor,A waxy substance used in medicinal and aromatic applications.,['Soy'],https://data.food.gov.uk/catalog/datasets?keyword=allergy
Mint,Aromatic herb used for flavoring and medicinal purposes.,['Peanuts'],https://www.who.int/publications/i/item/B09009
Gairik,Red ochre used in Ayurveda for healing and detoxification.,['Asthma'],https://data.food.gov.uk/catalog/datasets?keyword=allergy
